Weigh Order,Population,Line,Replicate,Treatment,Pot ID,Soil Mix Batch Number,Emergence,notes,Bolting,Flowering,Wilted_Died,,,,,,,
26,BELM,1,5,Current/Future,B1-5-CF,mix,6/29/2021,,9/13/2021,9/18/2021,,,,,,,,
40,BELM,1,3,Current/Future,B1-3-CF,1,6/28/2021,,9/12/2021,9/19/2021,,,,,,,,
36,BELM,1,1,Current/Future,B1-1-CF,1,6/28/2021,,9/13/2021,9/21/2021,,,,,,,,
45,BELM,1,4,Current/Future,B1-4-CF,2,6/28/2021,,9/12/2021,9/22/2021,,,,,,,,
28,BELM,12,1,Current/Future,B12-1-CF,7,6/30/2021,,9/12/2021,9/22/2021,,,,,,,,
9,BELM,15,1,Current/Future,B15-1-CF,5,6/29/2021,,9/13/2021,9/22/2021,,,,,,,,
35,BELM,15,2,Current/Future,B15-2-CF,4,6/28/2021,,9/13/2021,9/23/2021,,,,,,,,
48,BELM,13,2,Current/Future,B13-2-CF,3,7/1/2021,,9/15/2021,9/24/2021,,,,,,,,
44,BELM,3,2,Current/Future,B3-2-CF,5,6/28/2021,,9/13/2021,9/26/2021,,,,,,,,
20,BELM,1,2,Current/Future,B1-2-CF,1,7/15/2021,initial germination marked 6/28; empty on 7/1 and 7/13; not empty on 7/15 and has open cotelydons,9/13/2021,9/27/2021,,,,,,,,
46,BELM,3,1,Current/Future,B3-1-CF,3,6/29/2021,,9/13/2021,9/27/2021,,,,,,,,
33,BELM,15,2,Future,B15-2-F,2,6/28/2021,,9/17/2021,9/27/2021,,,,,,,,
21,BELM,12,2,Future,B12-2-F,5,6/29/2021,,9/13/2021,9/28/2021,,,,,,,,
25,BELM,1,1,Future,B1-1-F,1,6/27/2021,,9/14/2021,9/28/2021,,,,,,,,
39,BELM,1,4,Current,B1-4-C,6,6/27/2021,,9/16/2021,9/28/2021,,,,,,,,
22,BELM,1,3,Future,B1-3-F,2,6/27/2021,,9/13/2021,9/29/2021,-,,,,,,,
36,BELM,1,5,Future,B1-5-F,5,6/27/2021,,9/13/2021,9/29/2021,7/22/2021,,,,,,,
1,BELM,8,1,Current/Future,B8-1-CF,4,6/28/2021,,9/16/2021,9/30/2021,,,,,,,,
21,BELM,8,2,Current/Future,B8-2-CF,2,6/29/2021,,9/14/2021,9/30/2021,,,,,,,,
39,BELM,3,2,Future,B3-2-F,2,6/28/2021,,9/20/2021,9/30/2021,,,,,,,,
43,BELM,15,1,Future,B15-1-F,3,6/28/2021,,9/20/2021,9/30/2021,,,,,,,,
49,BELM,1,1,Current,B1-1-C,1,6/29/2021,,9/16/2021,10/1/2021,,,,,,,,
42,BELM,15,1,Current,B15-1-C,6,6/29/2021,,9/18/2021,10/1/2021,,,,,,,,
50,BELM,1,3,Current,B1-3-C,8,6/28/2021,,9/16/2021,10/3/2021,,,,,,,,
12,BELM,1,2,Current,B1-2-C,4,7/7/2021,this one just seems strange… maybe just super late? Starting to water triggered germ?,9/17/2021,10/3/2021,,,,,,,,
24,BELM,4,2,Current/Future,B4-2-CF,5,7/22/2021,!!!!! Woah,9/21/2021,10/3/2021,,,,,,,,
5,BELM,1,4,Future,B1-4-F,4,6/27/2021,,9/13/2021,10/4/2021,,,,,,,,
26,BELM,15,2,Current,B15-2-C,8,6/30/2021,,9/19/2021,10/4/2021,,,,,,,,
11,BELM,12,2,Current,B12-2-C,mix,7/7/2021,mixed results; maybe just super late germination?,9/20/2021,10/4/2021,,,,,,,,
12,BELM,3,1,Future,B3-1-F,4,6/27/2021,,9/21/2021,10/4/2021,,,,,,,,
45,BELM,1,2,Future,B1-2-F,1,6/27/2021,,9/15/2021,10/5/2021,,,,,,,,
46,BELM,1,5,Current,B1-5-C,3,6/29/2021,,9/16/2021,10/5/2021,,,,,,,,
34,BELM,8,1,Current,B8-1-C,8,6/29/2021,,9/17/2021,10/5/2021,,,,,,,,
2,BELM,13,2,Current,B13-2-C,7,6/29/2021,,9/22/2021,10/5/2021,,,,,,,,
47,BELM,13,1,Current,B13-1-C,5,7/12/2021,looks empty on 7/7 and 7/8; not empty on 7/12… maybe it lost the toothpick? I don't think I took it out. Not empty on 7/13. check photos for exact date if this isn't it. Best photo date is between 7/8 and 7/12 so going with 7/12 because that is whent I noted it and took a photo.,9/23/2021,10/5/2021,,,,,,,,
39,BELM,1,6,Current/Future,B1-6-CF,6,6/28/2021,,9/23/2021,10/5/2021,,,,,,,,
23,BELM,12,1,Current,B12-1-C,4,7/5/2021, got one in each environment to germinate at least,9/16/2021,10/6/2021,,,,,,,,
6,BELM,3,1,Current,B3-1-C,3,6/30/2021,,9/20/2021,10/6/2021,,,,,,,,
46,BELM,8,1,Future,B8-1-F,8,6/27/2021,,9/25/2021,10/6/2021,,,,,,,,
40,BELM,3,2,Current,B3-2-C,2,6/29/2021,,9/19/2021,10/8/2021,,,,,,,,
30,BELM,2,1,Future,B2-1-F,4,7/4/2021,,9/28/2021,10/9/2021,,,,,,,,
38,BELM,8,2,Current,B8-2-C,6,6/28/2021,,9/26/2021,10/10/2021,,,,,,,,
50,BELM,2,2,Future,B2-2-F,7,7/1/2021,,9/27/2021,10/10/2021,-,,,,,,,
1,BELM,1,6,Current,B1-6-C,3,6/29/2021,,9/17/2021,10/11/2021,,,,,,,,
11,RODA,33,1,Current/Future,R33-1-CF,8,6/29/2021,,10/4/2021,10/12/2021,,,,,,,,
7,RODA,33,2,Current/Future,R33-2-CF,7,6/29/2021,,10/4/2021,10/13/2021,,,,,,,,
48,BELM,8,2,Future,B8-2-F,4,6/27/2021,,10/6/2021,10/13/2021,,,,,,,,
22,RODA,11,2,Current/Future,R11-2-CF,3,6/28/2021,,10/9/2021,10/13/2021,,,,,,,,
31,BELM,2,1,Current,B2-1-C,7,7/6/2021,,9/23/2021,10/14/2021,,,,,,,,
29,RODA,21,2,Current/Future,R21-2-CF,3,6/28/2021,,10/9/2021,10/14/2021,,,,,,,,
2,RODA,15,2,Current/Future,R15-2-CF,6,6/28/2021,,10/4/2021,10/15/2021,,,,,,,,
17,RODA,2,2,Current/Future,R2-2-CF,5,6/28/2021,,10/5/2021,10/15/2021,,,,,,,,
31,RODA,47,2,Current/Future,R47-2-CF,4,6/29/2021,,10/5/2021,10/16/2021,,,,,,,,
3,BELM,1,6,Future,B1-6-F,6,6/27/2021,,10/5/2021,10/17/2021,,,,,,,,
14,RODA,8,1,Current/Future,R8-1-CF,1,6/29/2021,,10/5/2021,10/18/2021,,,,,,,,
6,RODA,26,1,Current/Future,R26-1-CF,6,6/29/2021,,10/5/2021,10/18/2021,,,,,,,,
37,RODA,2,1,Current/Future,R2-1-CF,5,6/29/2021,,10/6/2021,10/18/2021,,,,,,,,
18,RODA,35,2,Current/Future,R35-2-CF,4,6/29/2021,,10/7/2021,10/18/2021,,,,,,,,
5,RODA,29,1,Current/Future,R29-1-CF,8,6/28/2021,,10/10/2021,10/18/2021,,,,,,,,
15,BELM,4,2,Current,B4-2-C,4,8/6/2021,emerged this day according to pictures. Could have been a few days before. Cotelydons open in the image.,9/29/2021,10/19/2021,,,,,,,,
4,RODA,29,2,Current/Future,R29-2-CF,5,6/28/2021,,10/4/2021,10/20/2021,,,,,,,,
13,RODA,26,2,Future,R26-2-F,3,6/27/2021,,10/8/2021,10/20/2021,7/22/2021,,,,,,,
19,RODA,40,2,Current/Future,R40-2-CF,6,7/8/2021,? Not marked as empty in my check on 7/7 or 7/13 and no date in notebook; photo on 7/8 has a decently far along plant.,10/10/2021,10/20/2021,,,,,,,,
13,RODA,35,1,Current/Future,R35-1-CF,8,6/28/2021,,10/7/2021,10/21/2021,7/22/2021,,,,,,,
8,RODA,9,1,Current/Future,R9-1-CF,7,6/29/2021,,10/9/2021,10/21/2021,,,,,,,,
3,RODA,2,1,Current,R2-1-C,5,6/29/2021,,10/5/2021,10/22/2021,,,,,,,,
50,RODA,11,1,Current/Future,R11-1-CF,7,6/29/2021,,10/5/2021,10/22/2021,,,,,,,,
25,RODA,21,1,Current/Future,R21-1-CF,3,6/29/2021,,10/7/2021,10/22/2021,,,,,,,,
34,RODA,8,2,Current/Future,R8-2-CF,1,6/28/2021,,10/8/2021,10/22/2021,,,,,,,,
12,RODA,5,1,Current/Future,R5-1-CF,6,7/1/2021,,10/9/2021,10/22/2021,,,,,,,,
20,RODA,47,1,Future,R47-1-F,6,6/29/2021,,10/9/2021,10/22/2021,,,,,,,,
33,RODA,47,1,Current/Future,R47-1-CF,6,6/29/2021,,10/10/2021,10/22/2021,,,,,,,,
19,RODA,35,1,Future,R35-1-F,8,6/27/2021,,10/10/2021,10/22/2021,,,,,,,,
38,RODA,21,2,Future,R21-2-F,6,6/27/2021,,10/11/2021,10/22/2021,,,,,,,,
32,RODA,47,4,Current/Future,R47-4-CF,8,6/30/2021,,10/9/2021,10/23/2021,,,,,,,,
4,RODA,21,1,Current,R21-1-C,2,6/29/2021,? Not marked as empty in my check on 7/7 or 7/13. but no date written down in notebook; definitely not empty and I took a photo on 7/8/2021 and it looks decently far along. Photo on 6/29 of emergence,10/10/2021,10/23/2021,,,,,,,,
30,RODA,9,2,Current/Future,R9-2-CF,8,6/28/2021,,10/10/2021,10/23/2021,,,,,,,,
17,RODA,29,2,Future,R29-2-F,7,6/28/2021,,10/10/2021,10/23/2021,,,,,,,,
26,RODA,29,1,Future,R29-1-F,7,6/27/2021,,10/11/2021,10/23/2021,-,,,,,,,
11,RODA,47,2,Future,R47-2-F,3,6/28/2021,,10/11/2021,10/23/2021,,,,,,,,
4,RODA,2,2,Future,R2-2-F,6,6/27/2021,,10/12/2021,10/23/2021,,,,,,,,
35,RODA,33,1,Future,R33-1-F,5,6/27/2021,,10/13/2021,10/23/2021,,,,,,,,
3,RODA,40,1,Current/Future,R40-1-CF,mix,6/29/2021,,10/14/2021,10/23/2021,,,,,,,,
27,RODA,47,3,Current/Future,R47-3-CF,2,7/1/2021,,10/14/2021,10/23/2021,,,,,,,,
8,RODA,21,1,Future,R21-1-F,7,6/28/2021,,10/10/2021,10/24/2021,,,,,,,,
2,RODA,33,2,Future,R33-2-F,4,6/28/2021,,10/10/2021,10/24/2021,,,,,,,,
7,RODA,29,1,Current,R29-1-C,8,6/30/2021,,10/11/2021,10/24/2021,,,,,,,,
5,RODA,29,2,Current,R29-2-C,5,6/29/2021,,10/11/2021,10/24/2021,,,,,,,,
10,RODA,35,2,Future,R35-2-F,3,6/27/2021,,10/11/2021,10/24/2021,,,,,,,,
9,RODA,40,2,Future,R40-2-F,7,6/27/2021,,10/11/2021,10/24/2021,,,,,,,,
41,RODA,40,1,Future,R40-1-F,2,6/27/2021,,10/12/2021,10/24/2021,,,,,,,,
31,RODA,47,3,Future,R47-3-F,7,6/28/2021,,10/12/2021,10/24/2021,,,,,,,,
10,RODA,47,5,Current/Future,R47-5-CF,1,6/28/2021,,10/13/2021,10/24/2021,-,,,,,,,
24,RODA,47,4,Future,R47-4-F,mix,6/29/2021,,10/13/2021,10/24/2021,,,,,,,,
44,RODA,33,2,Current,R33-2-C,4,6/30/2021,,10/5/2021,10/25/2021,,,,,,,,
20,RODA,9,2,Current,R9-2-C,1,6/30/2021,,10/6/2021,10/25/2021,,,,,,,,
47,RODA,26,2,Current/Future,R26-2-CF,2,6/28/2021,,10/10/2021,10/25/2021,,,,,,,,
43,RODA,2,2,Current,R2-2-C,8,6/28/2021,,10/11/2021,10/25/2021,,,,,,,,
45,RODA,40,2,Current,R40-2-C,5,6/29/2021,,10/12/2021,10/25/2021,,,,,,,,
25,RODA,47,2,Current,R47-2-C,3,6/28/2021,,10/12/2021,10/25/2021,,,,,,,,
18,RODA,40,1,Current,R40-1-C,mix,6/29/2021,,10/13/2021,10/25/2021,,,,,,,,
17,RODA,47,5,Current,R47-5-C,1,6/29/2021,,10/14/2021,10/25/2021,,,,,,,,
19,RODA,8,1,Current,R8-1-C,2,7/1/2021,,10/15/2021,10/25/2021,,,,,,,,
16,RODA,47,6,Current,R47-6-C,1,7/1/2021,,10/15/2021,10/25/2021,-,,,,,,,
37,RODA,2,1,Future,R2-1-F,8,6/27/2021,,10/15/2021,10/25/2021,,,,,,,,
35,RODA,35,1,Current,R35-1-C,2,6/29/2021,,10/21/2021,10/25/2021,,,,,,,,
49,RODA,15,1,Current/Future,R15-1-CF,8,6/29/2021,,10/8/2021,10/26/2021,,,,,,,,
41,RODA,21,2,Current,R21-2-C,7,6/29/2021,,10/12/2021,10/26/2021,,,,,,,,
32,RODA,26,2,Current,R26-2-C,2,6/29/2021,,10/12/2021,10/26/2021,,,,,,,,
27,RODA,47,3,Current,R47-3-C,5,6/29/2021,,10/12/2021,10/26/2021,,,,,,,,
14,RODA,47,4,Current,R47-4-C,7,6/29/2021,,10/12/2021,10/26/2021,-,,,,,,,
44,RODA,9,2,Future,R9-2-F,7,6/28/2021,,10/13/2021,10/26/2021,,,,,,,,
34,RODA,47,5,Future,R47-5-F,4,6/27/2021,,10/13/2021,10/26/2021,,,,,,,,
48,RODA,9,1,Current,R9-1-C,1,6/30/2021,,10/14/2021,10/26/2021,,,,,,,,
29,RODA,11,2,Future,R11-2-F,5,6/27/2021,,10/17/2021,10/26/2021,,,,,,,,
18,RODA,11,1,Future,R11-1-F,7,6/28/2021,,10/19/2021,10/26/2021,,,,,,,,
13,RODA,8,2,Current,R8-2-C,1,6/29/2021,,10/14/2021,10/27/2021,,,,,,,,
37,RODA,26,1,Current,R26-1-C,3,7/1/2021,,10/14/2021,10/27/2021,,,,,,,,
15,RODA,8,2,Future,R8-2-F,1,6/27/2021,,10/21/2021,10/27/2021,7/26/2021,,,,,,,
29,RODA,11,2,Current,R11-2-C,6,6/28/2021,,10/17/2021,10/28/2021,,,,,,,,
16,RODA,15,2,Future,R15-2-F,3,6/27/2021,,10/17/2021,10/28/2021,7/22/2021,,,,,,,
28,RODA,15,1,Future,R15-1-F,2,6/27/2021,,10/18/2021,10/28/2021,7/26/2021,,,,,,,
9,RODA,11,1,Current,R11-1-C,7,6/29/2021,,10/17/2021,10/29/2021,,,,,,,,
36,RODA,15,1,Current,R15-1-C,6,6/28/2021,,10/18/2021,10/29/2021,,,,,,,,
33,RODA,5,1,Current,R5-1-C,7,7/12/2021,slow or env,10/22/2021,10/29/2021,,,,,,,,
21,RODA,15,2,Current,R15-2-C,mix,6/29/2021,,10/14/2021,10/30/2021,,,,,,,,
10,RODA,47,1,Current,R47-1-C,3,7/8/2021,just super late.,10/20/2021,10/30/2021,-,,,,,,,
30,RODA,35,2,Current,R35-2-C,6,6/29/2021,maybe dead on 7/22,10/14/2021,11/2/2021,,,,,,,,
42,RODA,8,1,Future,R8-1-F,1,6/27/2021,,11/10/2021,11/16/2021,,,,,,,,
16,RODA,47,6,Current/Future,R47-6-CF,1,6/30/2021,,-,-,-,,,,,,,
1,BELM,4,1,Future,B4-1-F,2,7/5/2021,no cotelydons yet on 7/13,-,-,7/22/2021,,,,,,,
14,BELM,4,2,Future,B4-2-F,8,,genotype. Could be environment or bad seeds; not noted as empty in my check on 7/7 but is on 7/13,-,-,-,,,,,,,
47,BELM,12,1,Future,B12-1-F,6,,mixed results,-,-,7/22/2021,,,,,,,
6,BELM,13,1,Future,B13-1-F,8,6/29/2021,,-,-,,,,,,,,
49,BELM,13,2,Future,B13-2-F,5,6/28/2021,,-,-,,,,,,,,
7,RODA,5,1,Future,R5-1-F,5,7/2/2021,looks empty on 7/9 and 7/13,-,-,,,,,,,,
40,RODA,5,2,Future,R5-2-F,1,7/2/2021,looks empty on 7/7 and 7/13,-,-,7/22/2021,,,,,,,
27,RODA,9,1,Future,R9-1-F,6,,?,-,-,7/28/2021,,,,,,,
32,RODA,26,1,Future,R26-1-F,5,6/29/2021,,-,-,7/22/2021,,,,,,,
23,RODA,47,6,Future,R47-6-F,1,,seeds bad,-,-,7/22/2021,,,,,,,
8,BELM,2,2,Current,B2-2-C,4,8/12/2021,suuuuper slow. Not sure it will survive.,-,,,,,,,,,
28,BELM,4,1,Current,B4-1-C,4,,genotype. Could be environment or bad seeds,-,,,,,,,,,
22,RODA,5,2,Current,R5-2-C,4,,seems to b generally slow to germinate but also could be an environment effect,-,,,,,,,,,
24,RODA,33,1,Current,R33-1-C,5,7/1/2021,empty on 7/6,-,,,,,,,,,
38,BELM,2,1,Current/Future,B2-1-CF,7,7/8/2021,just rather late. Cotelydons not yet open.,-,,,,,,,,,
23,BELM,2,2,Current/Future,B2-2-CF,4,8/3/2021,quite a late bloomer. Into vernalization.,-,,,,,,,,,
42,BELM,4,1,Current/Future,B4-1-CF,8,7/11/2021,new emergent on 8/3/2021! This one is in the study until it dies.,-,,,,,,,,,
41,BELM,12,2,Current/Future,B12-2-CF,2,7/7/2021,mixed results,-,,,,,,,,,
43,BELM,13,1,Current/Future,B13-1-CF,7,8/3/2021,into vernalization before emerged,-,,,,,,,,,
15,RODA,5,2,Current/Future,R5-2-CF,6,,slow or env,-,,,,,,,,,
,TEST,-,-,NONE,TEST,1,,,,,,,,,,,,
,Test2,-,2,NONE,Test2,mix (end),,,,,,,,,,,,
