Treatment,Pot ID,Photo #,Stomata Count ,Notes
Current,B1-1-C,1,32,
Current,B1-1-C,2,28,
Current,B12-2-C,1,35,
Current,B12-2-C,2,31,
Current,B12-3-C,1,32,
Current,B12-3-C,2,36,
Current,B12-4-C,1,31,
Current,B12-4-C,2,30,
Current,B1-2-C,1,31,
Current,B1-2-C,2,33,
Current,B13-1-C,1,32,
Current,B13-1-C,2,43,
Current,B13-2-C,1,33,
Current,B13-2-C,2,37,
Current,B13-3-C,1,35,
Current,B13-3-C,2,38,
Current,B13-4-C,1,35,
Current,B13-4-C,2,38,
Current,B13-5-C,1,44,
Current,B13-5-C,2,34,
Current,B1-3-C,1,31,
Current,B1-3-C,2,31,
Current,B1-4-C,1,23,
Current,B1-4-C,2,25,
Current,B15-1-C,1,37,
Current,B15-1-C,2,36,
current,B15-1-C (E),1,NA,"No stomata peel, was not possible. "
current,B15-1-C (E),2,NA,
Current,B15-2-C,1,39,
Current,B15-2-C,2,40,
Current,B15-3-C,1,24,
Current,B15-3-C,2,25,
Current,B15-4-C,1,30,
Current,B15-4-C,2,34,
Current,B15-5-C,1,32,
Current,B15-5-C,2,32,
Current,B1-5-C,1,27,
Current,B1-5-C,2,29,
Current,B1-6-C,1,31,
Current,B1-6-C,2,34,
Current,B2-2-C,1,40,
Current,B2-2-C,2,35,
Current,B3-1-C,1,37,
Current,B3-1-C,2,44,
Current,B3-2-C,1,44,
Current,B3-2-C,2,46,
Current,B3-3-C,1,31,
Current,B3-3-C,2,37,
Current,B3-4-C,1,46,
Current,B3-4-C,2,38,
Current,B3-5-C,1,40,
Current,B3-5-C,2,43,
Current,B3-6-C,1,32,
Current,B3-6-C,2,31,
Current,B8-1-C,1,35,
Current,B8-1-C,2,37,
Current,B8-2-C,1,37,
Current,B8-2-C,2,30,
Current,B8-3-C,1,33,
Current,B8-3-C,2,28,
Current,B8-4-C,1,38,
Current,B8-4-C,2,32,
Current,B8-7-C,1,37,
Current,B8-7-C,2,44,
Current,B8-8-C,1,48,
Current,B8-8-C,2,44,
Current,R11-1-C,1,52,
Current,R11-1-C,2,52,
Current,R11-2-C,1,45,
Current,R11-2-C,2,45,
Current,R11-3-C,1,44,"Extra Images: 1=48, 2= 60"
Current,R11-3-C,2,41,
Current,R11-4-C,1,37,
Current,R11-4-C,2,43,
Current,R21-1-C,1,39,
Current,R21-1-C,2,47,
Current,R21-2-C,1,34,
Current,R21-2-C,2,33,
Current,R21-3-C,1,40,
Current,R21-3-C,2,51,
Current,R21-4-C,1,40,
Current,R21-4-C,2,42,
Current,R2-1-C,1,35,
Current,R2-1-C,2,34,
Current,R2-2-C,1,44,
Current,R2-2-C,2,41,
Current,R2-3-C,1,39,
Current,R2-3-C,2,48,
Current,R2-4-C,1,34,
Current,R2-4-C,2,43,
Current,R29-1-C,1,31,
Current,R29-1-C,2,36,
Current,R29-2-C,1,36,
Current,R29-2-C,2,30,
Current,R29-3-C,1,38,
Current,R29-3-C,2,31,
Current,R29-4-C,1,38,"Extra Images: 1=40, 2= 43"
Current,R29-4-C,2,43,
Current,R35-1-C,1,36,
Current,R35-1-C,2,45,
Current,R35-2-C,1,40,
Current,R35-2-C,2,46,
Current,R35-3-C,1,40,
Current,R35-3-C,2,43,
Current,R35-4-C,1,49,
Current,R35-4-C,2,49,
Current,R40-1-C,1,35,
Current,R40-1-C,2,47,
Current,R40-2-C,1,33,
Current,R40-2-C,2,29,
Current,R40-3-C,1,30,
Current,R40-3-C,2,33,
Current,R40-4-C,1,42,These pictures were not great.
Current,R40-4-C,2,36,
Current,R47-1-C,1,37,
Current,R47-1-C,2,37,
Current,R47-2-C,1,37,
Current,R47-2-C,2,32,
Current,R47-3-C,1,30,
Current,R47-3-C,2,43,
Current,R47-4-C,1,34,
Current,R47-4-C,2,49,
Current,R8-1-C,1,37,
Current,R8-1-C,2,48,
Current,R8-2-C,1,32,
Current,R8-2-C,2,36,
Current,R8-3-C,1,44,
Current,R8-3-C,2,37,
Current,R8-4-C,1,35,
Current,R8-4-C,2,35,
Future,B1-1-F,1,36,
Future,B1-1-F,2,35,
Future,B12-1-F,1,27,
Future,B12-1-F,2,29,
Future,B12-2-F,1,32,
Future,B12-2-F,2,36,
Future,B12-3-F,1,44,
Future,B12-3-F,2,34,
Future,B12-4-F,1,25,
Future,B12-4-F,2,27,
Future,B1-2-F,1,30,
Future,B1-2-F,2,25,
Future,B13-1-F,1,33,
Future,B13-1-F,2,42,
Future,B13-2-F,1,42,
Future,B13-2-F,2,44,
Future,B13-3-F,1,37,
Future,B13-3-F,2,34,
Future,B13-4-F,1,37,
Future,B13-4-F,2,34,
Future,B1-3-F,1,35,
Future,B1-3-F,2,31,
Future,B1-4-F,1,41,
Future,B1-4-F,2,38,
Future,B15-1-F,1,36,
Future,B15-1-F,2,29,
Future,B15-2-F,1,64,
Future,B15-2-F,2,57,
Future,B15-3-F,1,34,
Future,B15-3-F,2,35,
Future,B15-4-F,1,43,
Future,B15-4-F,2,37,
Future,B15-5-F,1,31,
Future,B15-5-F,2,29,
Future,B1-5-F,1,37,
Future,B1-5-F,2,29,
Future,B2-2-F,1,44,
Future,B2-2-F,2,36,
Future,B2-3-F,1,58,
Future,B2-3-F,2,42,
Future,B3-1-F,1,39,
Future,B3-1-F,2,37,
Future,B3-2-F,1,39,
Future,B3-2-F,2,36,
Future,B3-3-F,1,39,
Future,B3-3-F,2,40,
Future,B3-4-F,1,45,
Future,B3-4-F,2,48,
Future,B3-7-F,1,40,
Future,B3-7-F,2,45,
Future,B4-2-F,1,34,
Future,B4-2-F,2,33,
Future,B8-1-F,1,42,
Future,B8-1-F,2,42,
Future,B8-2-F,1,34,
Future,B8-2-F,2,35,
Future,B8-3-F,1,49,
Future,B8-3-F,2,46,
Future,B8-4-F,1,38,
Future,B8-4-F,2,33,
Future,B8-5-F,1,37,
Future,B8-5-F,2,43,
Future,B8-6-F,1,49,
Future,B8-6-F,2,37,
Future,R11-1-F,1,53,
Future,R11-1-F,2,46,
Future,R11-2-F,1,55,
Future,R11-2-F,2,51,
Future,R11-3-F,1,51,"Hardest pics, Labeled with ! In folder. First pic is worse."
Future,R11-3-F,2,48,
Future,R11-4-F,1,54,
Future,R11-4-F,2,60,
Future,R21-1-F,1,57,
Future,R21-1-F,2,39,
Future,R21-2-F,1,44,
Future,R21-2-F,2,48,
Future,R21-3-F,1,NA,"Dead, no data"
Future,R21-3-F,2,NA,
Future,R21-4-F,1,50,
Future,R21-4-F,2,48,
Future,R2-1-F,1,28,
Future,R2-1-F,2,40,
Future,R2-2-F,1,43,
Future,R2-2-F,2,49,
Future,R2-3-F,1,32,
Future,R2-3-F,2,33,
Future,R2-4-F,1,42,
Future,R2-4-F,2,37,
Future,R29-1-F,1,42,
Future,R29-1-F,2,48,
Future,R29-2-F,1,38,
Future,R29-2-F,2,30,
Future,R29-3-F,1,48,
Future,R29-3-F,2,43,
Future,R29-4-F,1,43,
Future,R29-4-F,2,37,
Future,R35-1-F,1,39,
Future,R35-1-F,2,48,
Future,R35-2-F,1,46,
Future,R35-2-F,2,38,
Future,R35-3-F,1,36,
Future,R35-3-F,2,39,
Future,R35-4-F,1,40,
Future,R35-4-F,2,38,
Future,R40-1-F,1,51,
Future,R40-1-F,2,47,
Future,R40-2-F,1,67,
Future,R40-2-F,2,56,
Future,R40-3-F,1,55,
Future,R40-3-F,2,37,
Future,R40-4-F,1,39,
Future,R40-4-F,2,48,
Future,R47-1-F,1,40,
Future,R47-1-F,2,33,
Future,R47-2-F,1,41,
Future,R47-2-F,2,47,
Future,R47-3-F,1,38,
Future,R47-3-F,2,38,
Future,R47-4-F,1,37,
Future,R47-4-F,2,42,
Future,R8-1-F,1,38,
Future,R8-1-F,2,38,
Future,R8-2-F,1,37,
Future,R8-2-F,2,56,
Future,R8-3-F,1,43,
Future,R8-3-F,2,39,
Future,R8-4-F,1,43,
Future,R8-4-F,2,57,
