 ,Label,Area,Perim.
1,B1-1-C_06212022.jpeg,1.905,6.858
2,B1-1-F_06192022.jpeg,1.941,6.620
3,B1-2-C_06202022-1.jpeg,2.537,7.803
4,B1-2-F_06162022 -1.jpeg,2.359,7.971
5,B1-3-C_06212022.jpeg,3.033,9.764
6,B1-3-F_06172022.jpeg,2.557,7.850
7,B1-4-C_06212022.jpeg,3.200,8.951
8,B1-4-F_06192022.jpeg,2.871,9.001
9,B1-5-C_06222022.jpeg,2.192,7.878
10,B1-5-F_06172022.jpeg,2.509,8.213
11,B1-6-C_06222022.jpeg,1.965,7.107
12,B2-2-C_07102022.jpeg,1.594,5.875
13,B2-2-F_07072022.jpeg,1.029,5.344
14,B2-3-F_06222022.jpeg,2.183,8.157
15,B3-1-C_06232022.jpeg,2.962,9.208
16,B3-1-F_06202022.jpeg,2.524,8.665
17,B3-2-C_06272022.jpeg,2.223,7.485
18,B3-2-F_06202022.jpeg,2.276,8.673
19,B3-3-C_06232022.jpeg,2.407,8.952
20,B3-3-F_06192022.jpeg,2.286,8.370
21,B3-4-C_06232022.jpeg,2.458,8.160
22,B3-4-F_06202022.jpeg,2.604,8.738
23,B3-5-C_06222022.jpeg,2.825,8.627
24,B3-6-C_06222022.jpeg,2.340,7.785
25,B3-7-F_06192022.jpeg,2.514,7.907
26,B4-2-F_06272022.jpeg,1.290,5.719
27,B8-1-C_06272022.jpeg,4.879,11.315
28,B8-1-F_06222022.jpeg,2.242,7.961
29,B8-2-C_06242022.jpeg,2.883,7.958
30,B8-2-F_06222022.jpeg,1.862,6.544
31,B8-3-C_06212022.jpeg,2.588,7.246
33,B8-4-C_06232022.jpeg,2.164,7.177
34,B8-4-F_06242022.jpeg,2.910,8.206
35,B8-5-F_06192022.jpeg,2.083,7.651
36,B8-6-F_06232022.jpeg,2.533,7.720
37,B8-7-C_06272022.jpeg,3.564,9.965
38,B8-8-C_06272022.jpeg,3.966,10.104
39,B12-1-F_06192022.jpeg,1.872,6.820
40,B12-2-C_06232022.jpeg,1.477,5.525
41,B12-2-F_06192022.jpeg,1.800,6.607
42,B12-3-C_06192022.jpeg,1.401,5.645
43,B12-3-F_06222022.jpeg,1.441,5.852
44,B12-4-C_06282022.jpeg,0.646,3.694
45,B12-4-F_06192022.jpeg,1.883,7.206
46,B13-1-C_06272022.jpeg,2.534,7.616
47,B13-1-F_06202022.jpeg,3.292,9.375
48,B13-2-C_06232022.jpeg,2.755,8.813
49,B13-2-F_06212022.jpeg,2.707,8.708
50,B13-3-C_06272022.jpeg,3.492,9.632
51,B13-3-F_06222022.jpeg,2.089,7.405
52,B13-4-C_06282022.jpeg,2.448,8.243
53,B13-4-F_06212022.jpeg,2.307,7.685
54,B13-5-C_06272022.jpeg,2.597,8.056
55,B15-1-C_06222022.jpeg,3.279,9.503
56,B15-1-F_06202022.jpeg,2.942,9.009
57,B15-2-C_06232022.jpeg,3.067,9.542
58,B15-2-F_06222022.jpeg,1.747,7.075
59,B15-3-C_06212022.jpeg,2.616,8.847
60,B15-3-F_06202022.jpeg,2.485,8.218
61,B15-4-C_06222022.jpeg,2.460,8.196
62,B15-4-F_06202022.jpeg,2.915,9.587
63,B15-5-C_06232022.jpeg,2.329,7.708
64,B15-5-F_06192022.jpeg,3.231,9.526
65,R2-1-C_07072022.jpeg,2.074,7.567
66,R2-1-F_07082022.jpeg,1.566,6.911
67,R2-2-C_07072022.jpeg,1.974,7.114
68,R2-2-F_07122022.jpeg,1.981,7.593
69,R2-3-C_07112022.jpeg,3.808,10.663
70,R2-3-F_07112022.jpeg,2.324,7.680
71,R2-4-C_07092022.jpeg,3.257,8.945
72,R2-4-F_07102022.jpeg,2.302,7.873
73,R8-1-C_07102022.jpeg,2.696,8.912
74,R8-1-F_07112022.jpeg,2.421,7.690
75,R8-2-C_07132022.jpeg,2.991,9.289
76,R8-2-F_07102022.jpeg,2.297,8.020
77,R8-3-C_07082022.jpeg,2.446,8.203
78,B8-3-F_06242022.jpeg,2.400,8.021
79,R8-4-C_07082022.jpeg,1.303,5.445
80,R8-4-F_07102022.jpeg,2.378,8.882
81,R11-1-C_07152022.jpeg,3.201,10.252
82,R11-2-C_07162022.jpeg,2.996,9.466
83,R11-3-C_07172022.jpeg,2.976,9.629
84,R21-1-C_07102022.jpeg,3.960,11.028
85,R21-1-F_07072022.jpeg,1.434,6.050
86,R21-2-C_07092022.jpeg,2.600,8.672
87,R21-2-F_07142022.jpeg,2.203,7.580
88,R21-3-C_07112022.jpeg,3.113,8.783
89,R21-4-C_07132022.jpeg,3.653,10.425
90,R21-4-F_07102022.jpeg,1.870,7.027
91,R29-1-C_07122022.jpeg,2.053,7.232
92,R29-1-F_07112022.jpeg,1.603,6.813
93,R29-2-C_07122022.jpeg,3.095,8.528
94,R29-2-F_07142022.jpeg,2.371,8.126
95,R29-3-C_07092022.jpeg,2.620,8.096
96,R29-3-F_07102022.jpeg,1.843,7.595
97,R29-4-C_07162022.jpeg,1.880,7.339
98,R29-4-F_07102022.jpeg,1.826,7.504
99,R35-1-C_07082022.jpeg,2.997,9.277
100,R35-1-F_07052022.jpeg,2.227,8.188
101,R35-2-F_07122022.jpeg,1.717,6.551
102,R35-3-C_07112022.jpeg,2.477,8.354
103,R35-3-F_07122022.jpeg,1.558,6.477
104,R35-4-C_07112022.jpeg,2.625,8.269
105,R35-4-F_07102022.jpeg,3.174,9.215
106,R40-1-C_07102022.jpeg,2.216,7.628
107,R40-1-F_07142022.jpeg,1.756,6.975
108,R40-2-C_07082022.jpeg,1.401,5.679
109,R40-2-F_07072022.jpeg,1.597,6.140
110,R40-3-C_07102022.jpeg,3.422,9.699
111,R40-3-F_07072022.jpeg,1.360,6.113
112,R40-4-C_07132022.jpeg,2.614,8.397
113,R40-4-F_07122022.jpeg,1.865,8.342
114,R47-1-C_07132022.jpeg,1.994,7.318
115,R47-1-F_07092022.jpeg,2.123,7.850
116,R47-2-C_07122022.jpeg,2.502,8.930
117,R47-2-F_07052022.jpeg,1.953,7.674
118,R47-3-C_07142022.jpeg,2.045,6.744
119,R47-3-F_07142022.jpeg,1.937,7.151
120,R47-4-C_07122022.jpeg,2.106,7.631
121,R8-3-F_07092022.jpeg,1.950,7.477
122,R11-2-F_07212022.jpeg,2.780,9.224
123,R11-3-F_07292022.jpeg,2.289,8.088
124,R11-4-F_07262022.jpeg,1.859,7.857
125,R35-2-C_07242022.jpeg,4.677,12.925
126,R47-4-F_07232022.jpeg,1.839,8.091
127,R11-1-F_07202022.jpeg,2.630,8.802
128,R11-4-C_07202022.jpeg,3.208,9.622
